攻角,MA,目标转速,实际转速,实际MA,角速度,截面积
-5,1,2065.608,2065.38,0.99991,0.2,1.166666667
-4.95,1,2065.191,2066.19,1.00018,0.2,1.166666667
-4.84,1,2063.78,2065.92,1.00026,0.2,1.166666667
-4.752,1,2062.356,2065.53,1.0004,0.2,1.166666667
-4.652,1,2060.803,2065.1,1.0006,0.2,1.166666667
-4.548,1,2059.103,2065.1,1.00083,0.2,1.166666667
-4.446,1,2057.579,2063.34,1.001,0.2,1.166666667
-4.352,1,2055.779,2060.92,1.00117,0.2,1.166666667
-4.25,1,2054.155,2060.92,1.00131,0.2,1.166666667
-4.146,1,2052.479,2058.67,1.00147,0.2,1.166666667
-4.042,1,2051.104,2057.02,1.00156,0.2,1.166666667
-3.954,1,2049.88,2057.02,1.00134,0.2,1.166666667
-3.85,1,2048.946,2051.03,1.00114,0.2,1.166666667
-3.75,1,2048.101,2048.95,1.00089,0.2,1.166666667
-3.648,1,2047.402,2048.95,1.00052,0.2,1.166666667
-3.544,1,2046.824,2048.95,1.0002,0.2,1.166666667
-3.442,1,2046.102,2044.77,0.99994,0.2,1.166666667
-3.346,1,2045.545,2043.73,0.99963,0.2,1.166666667
-3.242,1,2044.801,2043.73,0.99942,0.2,1.166666667
-3.148,1,2044.224,2042.24,0.99925,0.2,1.166666667
-3.046,1,2043.345,2042.24,0.99914,0.2,1.166666667
-2.948,1,2042.577,2042.68,0.99913,0.2,1.166666667
-2.844,1,2041.793,2042.68,0.99918,0.2,1.166666667
-2.75,1,2040.761,2042.68,0.99944,0.2,1.166666667
-2.644,1,2039.778,2041.36,0.99947,0.2,1.166666667
-2.548,1,2038.777,2041.36,0.99967,0.2,1.166666667
-2.442,1,2037.678,2041.36,0.99987,0.2,1.166666667
-2.348,1,2036.677,2039,0.99999,0.2,1.166666667
-2.248,1,2035.577,2038.07,1.00016,0.2,1.166666667
-2.14,1,2034.777,2037.14,1.00022,0.2,1.166666667
-2.04,1,2033.894,2037.14,1.00025,0.2,1.166666667
-1.954,1,2033.018,2034.44,1.00024,0.2,1.166666667
-1.848,1,2032.518,2033.84,1.0002,0.2,1.166666667
-1.748,1,2032.017,2032.08,1.0001,0.2,1.166666667
-1.652,1,2031.617,2032.08,0.99997,0.2,1.166666667
-1.548,1,2031.218,2030.71,0.99986,0.2,1.166666667
-1.448,1,2031.018,2029.44,0.99969,0.2,1.166666667
-1.35,1,2030.318,2030.1,0.99971,0.2,1.166666667
-1.244,1,2029.606,2028.79,0.99979,0.2,1.166666667
-1.146,1,2029.205,2029.22,0.99969,0.2,1.166666667
-1.05,1,2028.805,2028.35,0.9996,0.2,1.166666667
-0.952,1,2028.406,2028.18,0.99953,0.2,1.166666667
-0.848,1,2028.608,2028.46,0.99947,0.2,1.166666667
-0.75,1,2028.708,2027.85,0.99935,0.2,1.166666667
-0.65,1,2028.806,2027.85,0.99932,0.2,1.166666667
-0.548,1,2028.806,2027.85,0.99932,0.2,1.166666667
-0.448,1,2029.008,2027.36,0.99919,0.2,1.166666667
-0.35,1,2029.308,2027.8,0.99909,0.2,1.166666667
-0.25,1,2029.306,2027.41,0.99909,0.2,1.166666667
-0.152,1,2029.106,2027.41,0.99919,0.2,1.166666667
-0.048,1,2029.208,2028.57,0.99917,0.2,1.166666667
0.05,1,2029.35,2028.79,0.99916,0.2,1.166666667
0.148,1,2029.45,2028.79,0.99916,0.2,1.166666667
0.252,1,2029.65,2028.73,0.99922,0.2,1.166666667
0.356,1,2029.748,2029.77,0.99932,0.2,1.166666667
0.452,1,2029.748,2029.94,0.99937,0.2,1.166666667
0.556,1,2029.948,2029.94,0.99933,0.2,1.166666667
0.656,1,2030.248,2029.72,0.99936,0.2,1.166666667
0.752,1,2030.55,2030.21,0.99932,0.2,1.166666667
0.854,1,2030.548,2030.32,0.9994,0.2,1.166666667
0.956,1,2030.448,2030.32,0.99958,0.2,1.166666667
1.056,1,2030.446,2030.1,0.99966,0.2,1.166666667
1.156,1,2030.746,2030.27,0.99971,0.2,1.166666667
1.256,1,2031.262,2030.87,0.99972,0.2,1.166666667
1.354,1,2031.746,2030.87,0.99971,0.2,1.166666667
1.456,1,2032.062,2031.15,0.99976,0.2,1.166666667
1.554,1,2032.346,2031.09,0.99983,0.2,1.166666667
1.658,1,2032.762,2031.2,0.99985,0.2,1.166666667
1.67,1,1999.583,2086.79,1.01349,0.2,1.166666667
1.756,1,2033.062,2031.97,0.99992,0.2,1.166666667
1.856,1,2033.345,2031.97,1.00003,0.2,1.166666667
1.96,1,2033.562,2032.85,1.00014,0.2,1.166666667
2.062,1,2033.95,2032.85,1.00014,0.2,1.166666667
2.16,1,2034.766,2032.85,1.00015,0.2,1.166666667
2.26,1,2035.55,2033.73,1.00017,0.2,1.166666667
2.362,1,2036.334,2033.73,1.00014,0.2,1.166666667
2.458,1,2037.134,2034.99,1.00016,0.2,1.166666667
2.56,1,2037.75,2036.09,1.00022,0.2,1.166666667
2.662,1,2038.718,2035.76,1.0001,0.2,1.166666667
2.724,1,2014.159,2095.58,1.01077,0.2,1.166666667
2.762,1,2039.534,2035.76,1.00008,0.2,1.166666667
2.862,1,2040.35,2035.76,1.00007,0.2,1.166666667
2.962,1,2040.834,2039.39,1.00019,0.2,1.166666667
3.062,1,2041.67,2039.83,1.00025,0.2,1.166666667
3.16,1,2042.57,2039.83,1.00018,0.2,1.166666667
3.262,1,2043.569,2041.91,1.00015,0.2,1.166666667
3.362,1,2044.352,2042.13,1.00014,0.2,1.166666667
3.462,1,2045.352,2043.18,1.00011,0.2,1.166666667
3.562,1,2046.189,2043.18,1.00007,0.2,1.166666667
3.662,1,2047.252,2043.18,0.99998,0.2,1.166666667
3.724,1,2029.32,2102.78,1.0082,0.2,1.166666667
3.762,1,2048.352,2046.64,0.99989,0.2,1.166666667
3.864,1,2049.353,2046.64,0.99988,0.2,1.166666667
3.962,1,2050.171,2046.64,0.99994,0.2,1.166666667
