攻角,MA,目标转速,实际转速,实际MA,角速度,截面积
-4,0.9,1986.707,1985.843,0.8998,0.2,1.166666667
-3.954,0.9,1986.507,1986.76,0.89998,0.2,1.166666667
0,0.9,1963.387,1962.236,0.89846,0.2,1.166666667
0.062,0.9,1932.273,1990.11,0.91482,0.2,1.166666667
0.34,0.9,1936.474,1998.19,0.91421,0.2,1.166666667
0.924,0.9,1943.625,1998.19,0.91282,0.2,1.166666667
1.688,0.9,1954.204,2011.54,0.91104,0.2,1.166666667
2.664,0.9,1967.503,2022.3,0.90904,0.2,1.166666667
3.684,0.9,1979.105,2022.3,0.90727,0.2,1.166666667
4.684,0.9,1990.304,2026.59,0.90567,0.2,1.166666667
5.664,0.9,1999.844,2030.32,0.90446,0.2,1.166666667
6.684,0.9,2008.552,2032.19,0.90354,0.2,1.166666667
7.664,0.9,2018.507,2032.19,0.90288,0.2,1.166666667
8.565,0.9,2025.345,2031.59,0.90228,0.2,1.166666667
9.272,0.9,2029.375,2032.3,0.90189,0.2,1.166666667
9.558,0.9,2028.468,2027.03,0.90102,0.2,1.166666667
9.97,0.9,2031.601,2030.87,0.90146,0.2,1.166666667
10,0.9,2031.05,2030.87,0.90146,0.2,1.166666667
